voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award
Will Guillory,New Orleans Times‐Picayune,"Tucker, PJ (HOU)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","Horford, Al (BOS)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)",2018,All-Defense
Xavier Vaution,BeIn Sport,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Smart, Marcus (BOS)","Butler, Jimmy (MIN)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Thompson, Klay (GSW)",2018,All-Defense
Yoko Miyaji,Sports Graphic Number,"Davis, Anthony (NOP)","Butler, Jimmy (MIN)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Horford, Al (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Paul, Chris (HOU)",2018,All-Defense
Zach Lowe,ESPN.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Paul, Chris (HOU)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Richardson, Josh (MIA)","Holiday, Jrue (NOP)",2018,All-Defense
Ailene Voisin,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Durant, Kevin (G.S.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2017,All-Defense
Andrew Sharp,Sports Illustrated,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Adams, Steven (OKC.)","Green, Danny (S.A.)","Smart, Marcus (Bos.)",2017,All-Defense
Anthony Slater,Bay Area News Group,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Durant, Kevin (G.S.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Green, Danny (S.A.)",2017,All-Defense
Antoni Daimiel,Moviestar+,"Covington, Robert (Phi.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Smart, Marcus (Bos.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)",2017,All-Defense
Ben Golliver,Sports Illustrated,"Green, Draymond (G.S.)","Roberson, Andre (OKC.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Rubio, Ricky (Min.)","Smart, Marcus (Bos.)",2017,All-Defense
Bill Oram,Orange County Register,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Covington, Robert (Phi.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2017,All-Defense
Bill Simmons,The Ringer,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Bradley, Avery (Bos.)","Rivers, Austin (LA-C)",2017,All-Defense
Brent Barry,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Holiday, Jrue (N.O.)",2017,All-Defense
Brian Lewis,New York Post,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense
Brian Mahoney,Associated Press,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Paul, Chris (LA-C)","Allen, Tony (Mem.)",2017,All-Defense
Brian Windhorst,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense
Calvin Watkins,ESPN.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Wall, John (Was.)","George, Paul (Ind.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Paul, Chris (LA-C)","Allen, Tony (Mem.)",2017,All-Defense
Charles Gardner,Milwaukee Journal-Sentinel,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Smart, Marcus (Bos.)","Bradley, Avery (Bos.)",2017,All-Defense
Chris Broussard,Fox Sports,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Green, Danny (S.A.)","Smart, Marcus (Bos.)",2017,All-Defense
Chris Webber,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Allen, Tony (Mem.)","Davis, Anthony (N.O.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)",2017,All-Defense
David Aldridge,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Green, Danny (S.A.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Curry, Stephen (G.S.)",2017,All-Defense
Davide Chinellato,LaGazetta Dello Sport,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Wall, John (Was.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Paul, Chris (LA-C)",2017,All-Defense
Dennis Scott,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Conley, Mike (Mem.)","Antetokounmpo, Giannis (Mil.)","Ariza, Trevor (Hou.)","Gasol, Marc (Mem.)","Allen, Tony (Mem.)","Thompson, Klay (G.S.)",2017,All-Defense
Doris Burke,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Green, Danny (S.A.)",2017,All-Defense
Doug Collins,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Conley, Mike (Mem.)",2017,All-Defense
Doug Haller,Arizona Republic,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Tucker, PJ (Tor.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense
Doug Smith,The Toronto Star,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","James, LeBron (Cle.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Bradley, Avery (Bos.)",2017,All-Defense
Eddie Sefko,Dallas Morning News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Matthews, Wesley (Dal.)","Antetokounmpo, Giannis (Mil.)","Ariza, Trevor (Hou.)","Butler, Jimmy (Chi.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Wall, John (Was.)",2017,All-Defense
Erik Horne,The Oklahoman,"Roberson, Andre (OKC.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense
Ernie Johnson,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Batum, Nicolas (Cha.)",2017,All-Defense
Flavio Tranquillo,Sky Italia,"Green, Draymond (G.S.)","Covington, Robert (Phi.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Green, Danny (S.A.)","Kidd-Gilchrist, Michael (Cha.)","Leonard, Kawhi (S.A.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)",2017,All-Defense
Fran Blinebury,NBA.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Thompson, Klay (G.S.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)",2017,All-Defense
Frank Isola,Sirius Radio/New York Daily News,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Thompson, Klay (G.S.)","Antetokounmpo, Giannis (Mil.)","James, LeBron (Cle.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Beverley, Patrick (Hou.)",2017,All-Defense
Gary Washburn,Boston Globe,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)","Millsap, Paul (Atl.)","Crowder, Jae (Bos.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Paul, Chris (LA-C)",2017,All-Defense
Howard Beck,Bleacher Report,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)","Tucker, PJ (Tor.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Smart, Marcus (Bos.)",2017,All-Defense
Hubie Brown,ABC/ESPN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Davis, Anthony (N.O.)","Crowder, Jae (Bos.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Wall, John (Was.)",2017,All-Defense
J Michael Falgoust,CSN Washington,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","George, Paul (Ind.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)",2017,All-Defense
JA Adande,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Thompson, Klay (G.S.)",2017,All-Defense
Jackie MacMullan,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Allen, Tony (Mem.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)",2017,All-Defense
Jacques Monclar,BEIN Sport,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Thompson, Klay (G.S.)","Ibaka, Serge (Tor.)","James, LeBron (Cle.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)",2017,All-Defense
Jalen Rose,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Wall, John (Was.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Paul, Chris (LA-C)",2017,All-Defense
Jared Greenberg,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Thompson, Klay (G.S.)",2017,All-Defense
Jason Jones,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Allen, Tony (Mem.)","Mbah a Moute, Luc (LA-C)","Iguodala, Andre (G.S.)","Whiteside, Hassan (Mia.)","Conley, Mike (Mem.)","Green, Danny (S.A.)",2017,All-Defense
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","James, LeBron (Cle.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2017,All-Defense
Jeff Zillgitt,USA Today,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Butler, Jimmy (Chi.)","Roberson, Andre (OKC.)","Howard, Dwight (Atl.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense
Jerry Zgoda,Minneapolis Star-Tribune,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)","Roberson, Andre (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Thompson, Klay (G.S.)",2017,All-Defense
Joe Freeman,The Oregonian,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Allen, Tony (Mem.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)",2017,All-Defense
Joe Vardon,Cleveland.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Millsap, Paul (Atl.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Bradley, Avery (Bos.)",2017,All-Defense
John Schuhmann,NBA.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Holiday, Jrue (N.O.)","Green, Danny (S.A.)",2017,All-Defense
Jon Barry,ESPN Radio,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Davis, Anthony (N.O.)","George, Paul (Ind.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Thompson, Klay (G.S.)",2017,All-Defense
Jon Krawczynski,Associated Press,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense
Justin Termine,Sirius XM,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Smart, Marcus (Bos.)","Beverley, Patrick (Hou.)","Tucker, PJ (Tor.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Thompson, Klay (G.S.)","Allen, Tony (Mem.)",2017,All-Defense
Justin Verrier,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Rubio, Ricky (Min.)","Beverley, Patrick (Hou.)",2017,All-Defense
KC Johnson,Chicago Tribune,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Wall, John (Was.)","Green, Danny (S.A.)",2017,All-Defense
Keith Pompey,Philadelphia Inquirer,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Wall, John (Was.)","Covington, Robert (Phi.)","Butler, Jimmy (Chi.)","Whiteside, Hassan (Mia.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2017,All-Defense
Kevin Arnovitz,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Gasol, Marc (Mem.)","Paul, Chris (LA-C)","Smart, Marcus (Bos.)",2017,All-Defense
Kevin Ding,Bleacher Report,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)","Covington, Robert (Phi.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Wall, John (Was.)",2017,All-Defense
Kevin Harlan,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense
Kevin O'Connor,The Ringer,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Green, Danny (S.A.)",2017,All-Defense
Kristen Ledlow,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense
Kurt Helin,NBCSports.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Green, Danny (S.A.)",2017,All-Defense
Lang Whitaker,NBA.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)",2017,All-Defense
Lee Jenkins,Sports Illustrated,"Roberson, Andre (OKC.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Leonard, Kawhi (S.A.)","Kidd-Gilchrist, Michael (Cha.)","Howard, Dwight (Atl.)","Bradley, Avery (Bos.)","Thompson, Klay (G.S.)",2017,All-Defense
Lisa Shen Yang,Tencent,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Howard, Dwight (Atl.)","Antetokounmpo, Giannis (Mil.)","Gordon, Eric (Hou.)","Kidd-Gilchrist, Michael (Cha.)","James, LeBron (Cle.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Smart, Marcus (Bos.)",2017,All-Defense
Manny Navaro,Miami Herald,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Holiday, Jrue (N.O.)","Allen, Tony (Mem.)",2017,All-Defense
Marc Berman,New York Post,"Green, Draymond (G.S.)","James, LeBron (Cle.)","Jordan, DeAndre (LA-C)","Thompson, Klay (G.S.)","Allen, Tony (Mem.)","Durant, Kevin (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Green, Danny (S.A.)",2017,All-Defense
Marc Kestecher,ESPN Radio,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Thompson, Klay (G.S.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)",2017,All-Defense
Marc Spears,The Undefeated,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Davis, Anthony (N.O.)","George, Paul (Ind.)","Whiteside, Hassan (Mia.)","Beverley, Patrick (Hou.)","Caldwell-Pope, Kentavious (Det.)",2017,All-Defense
Marc Stein,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Antetokounmpo, Giannis (Mil.)","Millsap, Paul (Atl.)","Howard, Dwight (Atl.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2017,All-Defense
Marcelo Nogueira,Ole,"Leonard, Kawhi (S.A.)","Iguodala, Andre (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Wall, John (Was.)","Antetokounmpo, Giannis (Mil.)","Aldridge, LaMarcus (S.A.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)",2017,All-Defense
Mark Jackson,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Bradley, Avery (Bos.)","Paul, Chris (LA-C)",2017,All-Defense
Mark Medina,LA Daily News,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2017,All-Defense
Matt Moore,CBSSports.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Allen, Tony (Mem.)","Roberson, Andre (OKC.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Holiday, Jrue (N.O.)","Paul, Chris (LA-C)",2017,All-Defense
Matt Winer,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Paul, Chris (LA-C)",2017,All-Defense
Michael Grange,Rogers Sportsnet,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Thompson, Klay (G.S.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense
Michael Wilbon,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Smart, Marcus (Bos.)",2017,All-Defense
Michelle Beadle,ABC/ESPN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Crowder, Jae (Bos.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense
Mike Breen,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Paul, Chris (LA-C)","Green, Danny (S.A.)",2017,All-Defense
Nate Taylor,Indianapolis Star,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Thompson, Klay (G.S.)","George, Paul (Ind.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Hill, George (Utah)",2017,All-Defense
